Team ,Payroll
ARI,52829878.00
ATL,106964415.00
BAL,13838690.00
BOS,142402099.00
CHW,125829369.00
CHC,33910889.00
CIN,84640759.00
CLE,35682311.00
COL,79937621.00
DET,61408153.00
HOU,147127725.00
KCR,52514932.00
LAA,30467086.00
LAD,174661524.00
MIA,16304223.00
MIL,79937621.00
MIN,83609495.00
NYY,141518753.00
NYM,154565754.00
OAK,51710210.00
PHI,146365917.00
PIT,16572841.00
SDP,125977584.00
SFG,134386796.00
SEA,57025609.00
STL,136018560.00
TBR,44288651.00
TOR,108402749.00
WSN,50076145.00
TEX,24843032.00